Group Name,Year,Month,Date,Weekday,Time,Who,Chat Content,CharCount,Processed Content
Nottingham 🇬🇧港人互助區,2024,November,1,Friday,6:40:23,gekkkkko,大家有冇用過邊張梳化床坐同訓都舒服架？求介紹🙏🏻,24,gekkkkko: 大家有冇用過邊張梳化床坐同訓都舒服架？求介紹🙏🏻
Nottingham 🇬🇧港人互助區,2024,October,22,Tuesday,22:34:43,,我係,2,nan: 我係
Nottingham 🇬🇧港人互助區,2024,October,22,Tuesday,22:34:05,homelala,[Strong](tg://user?id=1880087899),33,homelala: [Strong](tg |//user?id=1880087899)
Nottingham 🇬🇧港人互助區,2024,October,22,Tuesday,20:32:47,Mn55245,想請問有無香港律師介紹,11,Mn55245: 想請問有無香港律師介紹
Nottingham 🇬🇧港人互助區,2024,October,22,Tuesday,13:27:28,Produnkcan,"英國利息將跌至2.75%, Goldeman Sachs預測 
https://hkmigrate.com/thread/3301729599331 
英國台 - 香港移民論壇",88,"Produnkcan: 英國利息將跌至2.75%, Goldeman Sachs預測 
https |//hkmigrate.com/thread/3301729599331 
英國台 - 香港移民論壇"
Nottingham 🇬🇧港人互助區,2024,October,22,Tuesday,10:36:21,homelala,"之前參加左Meet the MP event👍🏻 ，對我哋Nottingham 嘅MP 多左了解。鼓勵大家繼續留意佢地和參與，James from Rushcliffe 

https://www.facebook.com/share/v/3iWPNpHYF2chrXa2/?mibextid=UalRPS",153,"homelala: 之前參加左Meet the MP event👍🏻 ，對我哋Nottingham 嘅MP 多左了解。鼓勵大家繼續留意佢地和參與，James from Rushcliffe 

https |//www.facebook.com/share/v/3iWPNpHYF2chrXa2/?mibextid=UalRPS"
Nottingham 🇬🇧港人互助區,2024,October,21,Monday,22:00:52,zfanman,森林竟然打到同熱剌同分,11,zfanman: 森林竟然打到同熱剌同分
Nottingham 🇬🇧港人互助區,2024,October,20,Sunday,11:12:02,Tfng0001,唔知啲濕鳩大碌買啲i phone嚟做咩，靜係識攞嚟影相,27,Tfng0001: 唔知啲濕鳩大碌買啲i phone嚟做咩，靜係識攞嚟影相
Nottingham 🇬🇧港人互助區,2024,October,18,Friday,14:36:50,homelala,第三次世界大戰展開序幕,11,homelala: 第三次世界大戰展開序幕
Nottingham 🇬🇧港人互助區,2024,October,15,Tuesday,23:37:41,homelala,Oh 原來…各大超市又已經有煙花出售,18,homelala: Oh 原來…各大超市又已經有煙花出售
Nottingham 🇬🇧港人互助區,2024,October,15,Tuesday,21:40:09,imfinethankyouwhoareyou,感謝兩位大大,6,imfinethankyouwhoareyou: 感謝兩位大大
Nottingham 🇬🇧港人互助區,2024,October,15,Tuesday,21:24:43,edan_uk,"http://whcmed.com/product/2/?

都可以係中醫診所網購💛",42,"edan_uk: http |//whcmed.com/product/2/?

都可以係中醫診所網購💛"
Nottingham 🇬🇧港人互助區,2024,October,15,Tuesday,12:34:32,homelala,市中心or Beeston 的東方行 同 NG3 間Asiana Hypermarket 都算多呢類貨。 下次去開幫你望下👌🏻,63,homelala: 市中心or Beeston 的東方行 同 NG3 間Asiana Hypermarket 都算多呢類貨。 下次去開幫你望下👌🏻
Nottingham 🇬🇧港人互助區,2024,October,15,Tuesday,12:29:03,homelala,"冇特別留意，不過所有中超都有一格買煲湯藥材，有時冇可能只係剛剛賣晒，所以如果急用，建議上網買

https://www.wanahong.co.uk/product/華南行-五指毛桃-100g/?utm_source=Google+Shopping&utm_medium=cpc&utm_campaign=Google+Product+Feed+-+EN&gad_source=1&gbraid=0AAAAABVeL35Ui6fQ6hDjk2LSUDemHKBmq&gclid=CjwKCAjwpbi4BhByEiwAMC8JnbKUkv4bPU1O57neW7NDdvUoT0EmcMmuq6ypg4Z-RENGI9Gp8ztmsRoC_2kQAvD_BwE",330,"homelala: 冇特別留意，不過所有中超都有一格買煲湯藥材，有時冇可能只係剛剛賣晒，所以如果急用，建議上網買

https |//www.wanahong.co.uk/product/華南行-五指毛桃-100g/?utm_source=Google+Shopping&utm_medium=cpc&utm_campaign=Google+Product+Feed+-+EN&gad_source=1&gbraid=0AAAAABVeL35Ui6fQ6hDjk2LSUDemHKBmq&gclid=CjwKCAjwpbi4BhByEiwAMC8JnbKUkv4bPU1O57neW7NDdvUoT0EmcMmuq6ypg4Z-RENGI9Gp8ztmsRoC_2kQAvD_BwE"
Nottingham 🇬🇧港人互助區,2024,October,15,Tuesday,10:55:06,imfinethankyouwhoareyou,"或者大家有無見過有五指毛桃賣?
thanks",22,"imfinethankyouwhoareyou: 或者大家有無見過有五指毛桃賣?
thanks"
Nottingham 🇬🇧港人互助區,2024,October,15,Tuesday,10:53:45,imfinethankyouwhoareyou,"唔好意思想問下
nottingham有無中成藥買?
thanks",32,"imfinethankyouwhoareyou: 唔好意思想問下
nottingham有無中成藥買?
thanks"
Nottingham 🇬🇧港人互助區,2024,October,14,Monday,18:01:16,,中國人式的英文，我地識條鐵咩？😂😂,17,nan: 中國人式的英文，我地識條鐵咩？😂😂
Nottingham 🇬🇧港人互助區,2024,October,14,Monday,16:01:19,homelala,"我認我笑位比較低。不過呢個Go back to China 真係好笑

https://youtu.be/n0BW7P9yiPU?si=PdYcAkFlXOt7me2v",84,"homelala: 我認我笑位比較低。不過呢個Go back to China 真係好笑

https |//youtu.be/n0BW7P9yiPU?si=PdYcAkFlXOt7me2v"
