Who,Chat Content,Label
gekkkkko,大家有冇用過邊張梳化床坐同訓都舒服架？求介紹🙏🏻,1
AlpacaAlpaca,,0
GroupHelpBot,Welcome Dick!,0
GroupHelpBot,Welcome Z Chen!,0
GroupHelpBot,Welcome 渗透 逆向!,0
LKEFU038,o,0
,我係,0
homelala,[Strong](tg://user?id=1880087899),0
Mn55245,想請問有無香港律師介紹,1
Produnkcan,"英國利息將跌至2.75%, Goldeman Sachs預測 
https://hkmigrate.com/thread/3301729599331 
英國台 - 香港移民論壇",1
homelala,"之前參加左Meet the MP event👍🏻 ，對我哋Nottingham 嘅MP 多左了解。鼓勵大家繼續留意佢地和參與，James from Rushcliffe 

https://www.facebook.com/share/v/3iWPNpHYF2chrXa2/?mibextid=UalRPS",1
zfanman,森林竟然打到同熱剌同分,0
Tfng0001,唔知啲濕鳩大碌買啲i phone嚟做咩，靜係識攞嚟影相,0
homelala,第三次世界大戰展開序幕,0
homelala,https://www.bbc.com/news/articles/c3vkqwe9wwdo.amp,0
GroupHelpBot,Welcome Tiger!,0
,"Jeff  Kwok是一位結構工程師，分別擁有英國特許土木及結構工程師資格（MICE, MIStructE, CEng), 在香港曾參興北區醫院擴建，香港機場擴建及中九龍幹線等大型公程。於英國現職於知名國際公司，參與電池工廠，沙地機場等結構設計。

於本講座將會介紹在如何成為英國特許土木及結構工程師，並分享在英國工作及搵工心得。 

本講座設有Q&A環節

#HKPCIC #jeffkwok #engineer #工程師講座 #行業insight #網上講座 #工程師行業指南
報名連結：https://forms.gle/c1LYc6rptWUJzcCk9",0
homelala,https://www.facebook.com/share/p/nF2wBRQSRtJCQeKy/?mibextid=WC7FNe,0
homelala,"💼Jobs for Hongkongers💼

An eight week programme offering personalised 1-1 support for all of your employment needs!

This programme will support you to: 
- Find work and work experience opportunities
- Improve your CV, applications, and interview skills
- Find new skills and training programmes

This programme is available to anyone who is living in the UK under the HKBNO Visa. 

Find out more and access suport: https://www.jobsforhongkongers.org.uk/",0
,,0
homelala,Oh 原來…各大超市又已經有煙花出售,0
imfinethankyouwhoareyou,感謝兩位大大,0
edan_uk,"http://whcmed.com/product/2/?

都可以係中醫診所網購💛",0
homelala,市中心or Beeston 的東方行 同 NG3 間Asiana Hypermarket 都算多呢類貨。 下次去開幫你望下👌🏻,0
homelala,"冇特別留意，不過所有中超都有一格買煲湯藥材，有時冇可能只係剛剛賣晒，所以如果急用，建議上網買

https://www.wanahong.co.uk/product/華南行-五指毛桃-100g/?utm_source=Google+Shopping&utm_medium=cpc&utm_campaign=Google+Product+Feed+-+EN&gad_source=1&gbraid=0AAAAABVeL35Ui6fQ6hDjk2LSUDemHKBmq&gclid=CjwKCAjwpbi4BhByEiwAMC8JnbKUkv4bPU1O57neW7NDdvUoT0EmcMmuq6ypg4Z-RENGI9Gp8ztmsRoC_2kQAvD_BwE",0
imfinethankyouwhoareyou,"或者大家有無見過有五指毛桃賣?
thanks",1
imfinethankyouwhoareyou,"唔好意思想問下
nottingham有無中成藥買?
thanks",1
,中國人式的英文，我地識條鐵咩？😂😂,0
homelala,"我認我笑位比較低。不過呢個Go back to China 真係好笑

https://youtu.be/n0BW7P9yiPU?si=PdYcAkFlXOt7me2v",0
GetALifeLa,,0
