Group Name,Year,Month,Date,Weekday,Time,Who,Chat Content,CharCount,Processed Content,Category,Subcategory
Nottingham 🇬🇧港人互助區,2024,October,22,Tuesday,20:32:47,Mn55245,想請問有無香港律師介紹,11,Mn55245: 想請問有無香港律師介紹,Legal and Bureaucratic Challenges,Accessing Legal Aid or Advocacy Services
Nottingham 🇬🇧港人互助區,2024,October,22,Tuesday,13:27:28,Produnkcan,"英國利息將跌至2.75%, Goldeman Sachs預測 
https://hkmigrate.com/thread/3301729599331 
英國台 - 香港移民論壇",88,"Produnkcan: 英國利息將跌至2.75%, Goldeman Sachs預測 
https |//hkmigrate.com/thread/3301729599331 
英國台 - 香港移民論壇",Economic and Financial Stability,Adapting to Market Fluctuations and Economic Changes
Nottingham 🇬🇧港人互助區,2024,October,16,Wednesday,16:38:59,homelala,"💼Jobs for Hongkongers💼

An eight week programme offering personalised 1-1 support for all of your employment needs!

This programme will support you to: 
- Find work and work experience opportunities
- Improve your CV, applications, and interview skills
- Find new skills and training programmes

This programme is available to anyone who is living in the UK under the HKBNO Visa. 

Find out more and access suport: https://www.jobsforhongkongers.org.uk/",454,"homelala: 💼Jobs for Hongkongers💼

An eight week programme offering personalised 1-1 support for all of your employment needs!

This programme will support you to | 
- Find work and work experience opportunities
- Improve your CV, applications, and interview skills
- Find new skills and training programmes

This programme is available to anyone who is living in the UK under the HKBNO Visa. 

Find out more and access suport | https |//www.jobsforhongkongers.org.uk/",Uncategorized,Uncategorized
Nottingham 🇬🇧港人互助區,2024,October,9,Wednesday,23:36:57,MMCDR,有房出租,4,MMCDR: 有房出租,Uncategorized,Uncategorized
Sheffield🇬🇧港人互助區,2024,October,27,Sunday,17:04:49,,農曆年Sheffield 有粵劇呀,17,nan: 農曆年Sheffield 有粵劇呀,Uncategorized,Uncategorized
Sheffield🇬🇧港人互助區,2024,October,24,Thursday,0:41:39,lee_cheongsan,"【用Octopus的用戶有福了！】

自家製一Click即睇實時Argile電費。

唔使Login，唔使左襟右襟，真正一Click即睇！係一Click即睇呀呀呀呀。

仲可以睇埋隔離區價錢添！

https://play.google.com/store/apps/details?id=octopus.energy.pricechecker",172,"lee_cheongsan: 【用Octopus的用戶有福了！】

自家製一Click即睇實時Argile電費。

唔使Login，唔使左襟右襟，真正一Click即睇！係一Click即睇呀呀呀呀。

仲可以睇埋隔離區價錢添！

https |//play.google.com/store/apps/details?id=octopus.energy.pricechecker",Uncategorized,Uncategorized
Sheffield🇬🇧港人互助區,2024,October,19,Saturday,13:13:19,,有時間去睇呢個展覽,9,nan: 有時間去睇呢個展覽,Uncategorized,Uncategorized
Sheffield🇬🇧港人互助區,2024,October,8,Tuesday,11:37:13,,"住薄扶林的朋友仔睇下似唔似
https://youtu.be/75KlRM69eG4?si=_E1YGzikyhPW17Ag",62,"nan: 住薄扶林的朋友仔睇下似唔似
https |//youtu.be/75KlRM69eG4?si=_E1YGzikyhPW17Ag",Uncategorized,Uncategorized
真.IT人在英國,2024,October,29,Tuesday,0:14:33,kevinlaw1984,"on 9, 交成晚稅
我立即問稅局，佢話我文件吾齊。
咁我就同太太重申填好，我同太太加小朋友 父母就不用我拱 再交文件
再次收到信都係要交兩萬幾 有冇攪撚錯",78,"kevinlaw1984: on 9, 交成晚稅
我立即問稅局，佢話我文件吾齊。
咁我就同太太重申填好，我同太太加小朋友 父母就不用我拱 再交文件
再次收到信都係要交兩萬幾 有冇攪撚錯",Legal and Bureaucratic Challenges,Understanding Tax Obligations
真.IT人在英國,2024,October,27,Sunday,18:29:33,MilkySylvia,"4天工作周 冰島試推數年成效顯著 「失業率歐洲最低」經濟成長超越多國
https://lih.kg/3810904
- 分享自 LIHKG 討論區",73,"MilkySylvia: 4天工作周 冰島試推數年成效顯著 「失業率歐洲最低」經濟成長超越多國
https |//lih.kg/3810904
- 分享自 LIHKG 討論區",Uncategorized,Uncategorized
