Group Name,Year,Month,Date,Weekday,Time,Who,Chat Content,CharCount,Processed Content,Category,Subcategory,Token Count
Nottingham 🇬🇧港人互助區,2024,November,1,Friday,6:40:23,gekkkkko,大家有冇用過邊張梳化床坐同訓都舒服架？求介紹🙏🏻,24,gekkkkko: 大家有冇用過邊張梳化床坐同訓都舒服架？求介紹🙏🏻,Financial and Budgeting Challenges,Understanding Local Taxes and Financial Systems,46
Nottingham 🇬🇧港人互助區,2024,October,22,Tuesday,22:34:05,homelala,[Strong](tg://user?id=1880087899),33,homelala: [Strong](tg |//user?id=1880087899),Uncategorized,Uncategorized,18
Nottingham 🇬🇧港人互助區,2024,October,22,Tuesday,20:32:47,Mn55245,想請問有無香港律師介紹,11,Mn55245: 想請問有無香港律師介紹,Uncategorized,Uncategorized,25
Nottingham 🇬🇧港人互助區,2024,October,21,Monday,22:00:52,zfanman,森林竟然打到同熱剌同分,11,zfanman: 森林竟然打到同熱剌同分,Uncategorized,Uncategorized,22
Nottingham 🇬🇧港人互助區,2024,October,20,Sunday,11:12:02,Tfng0001,唔知啲濕鳩大碌買啲i phone嚟做咩，靜係識攞嚟影相,27,Tfng0001: 唔知啲濕鳩大碌買啲i phone嚟做咩，靜係識攞嚟影相,Uncategorized,Uncategorized,49
Nottingham 🇬🇧港人互助區,2024,October,18,Friday,14:36:50,homelala,第三次世界大戰展開序幕,11,homelala: 第三次世界大戰展開序幕,Uncategorized,Uncategorized,18
Nottingham 🇬🇧港人互助區,2024,October,15,Tuesday,23:37:41,homelala,Oh 原來…各大超市又已經有煙花出售,18,homelala: Oh 原來…各大超市又已經有煙花出售,Uncategorized,Uncategorized,31
Nottingham 🇬🇧港人互助區,2024,October,15,Tuesday,21:40:09,imfinethankyouwhoareyou,感謝兩位大大,6,imfinethankyouwhoareyou: 感謝兩位大大,Uncategorized,Uncategorized,20
Nottingham 🇬🇧港人互助區,2024,October,15,Tuesday,12:34:32,homelala,市中心or Beeston 的東方行 同 NG3 間Asiana Hypermarket 都算多呢類貨。 下次去開幫你望下👌🏻,63,homelala: 市中心or Beeston 的東方行 同 NG3 間Asiana Hypermarket 都算多呢類貨。 下次去開幫你望下👌🏻,Uncategorized,Uncategorized,56
Nottingham 🇬🇧港人互助區,2024,October,15,Tuesday,12:29:03,homelala,"冇特別留意，不過所有中超都有一格買煲湯藥材，有時冇可能只係剛剛賣晒，所以如果急用，建議上網買

https://www.wanahong.co.uk/product/華南行-五指毛桃-100g/?utm_source=Google+Shopping&utm_medium=cpc&utm_campaign=Google+Product+Feed+-+EN&gad_source=1&gbraid=0AAAAABVeL35Ui6fQ6hDjk2LSUDemHKBmq&gclid=CjwKCAjwpbi4BhByEiwAMC8JnbKUkv4bPU1O57neW7NDdvUoT0EmcMmuq6ypg4Z-RENGI9Gp8ztmsRoC_2kQAvD_BwE",330,"homelala: 冇特別留意，不過所有中超都有一格買煲湯藥材，有時冇可能只係剛剛賣晒，所以如果急用，建議上網買

https |//www.wanahong.co.uk/product/華南行-五指毛桃-100g/?utm_source=Google+Shopping&utm_medium=cpc&utm_campaign=Google+Product+Feed+-+EN&gad_source=1&gbraid=0AAAAABVeL35Ui6fQ6hDjk2LSUDemHKBmq&gclid=CjwKCAjwpbi4BhByEiwAMC8JnbKUkv4bPU1O57neW7NDdvUoT0EmcMmuq6ypg4Z-RENGI9Gp8ztmsRoC_2kQAvD_BwE",Uncategorized,Uncategorized,220
Nottingham 🇬🇧港人互助區,2024,October,15,Tuesday,10:55:06,imfinethankyouwhoareyou,"或者大家有無見過有五指毛桃賣?
thanks",22,"imfinethankyouwhoareyou: 或者大家有無見過有五指毛桃賣?
thanks",Uncategorized,Uncategorized,29
Nottingham 🇬🇧港人互助區,2024,October,15,Tuesday,10:53:45,imfinethankyouwhoareyou,"唔好意思想問下
nottingham有無中成藥買?
thanks",32,"imfinethankyouwhoareyou: 唔好意思想問下
nottingham有無中成藥買?
thanks",Uncategorized,Uncategorized,33
Nottingham 🇬🇧港人互助區,2024,October,14,Monday,18:01:16,user44451,中國人式的英文，我地識條鐵咩？😂😂,17,user44451: 中國人式的英文，我地識條鐵咩？😂😂,Uncategorized,Uncategorized,31
Nottingham 🇬🇧港人互助區,2024,October,13,Sunday,18:16:55,GetALifeLa,"有香港人參加咗個MMA慈善比賽11月22號係Derby DE24 3DH，幫香港監察籌款。大會要求參加者要籌到£50同賣出十張飛先可以打比賽。

現在已經有8人買了票。
還欠兩票

如果想去睇，大家要盡快買飛，10月14日前不足夠10票，正仔無得打。 記得打 Siu

想請大家幫個忙🙏，分享這個以下阿正的連接👇🏻及訊息給有興趣去睇嘅朋友。記得打 Siu

https://www.ultratickets.co.uk/events/ultra-mma-derby-burton-22-11-2024/?fbclid=IwZXh0bgNhZW0CMTEAAR3sugOLjrqqrQfRWZcTVzlX1bKQ9cz3z8_Dpgkj1ex76Kn1OmtsGsd_CGY_aem_SJ0RHKNfC6lKLZLt9RDP-A",363,"GetALifeLa: 有香港人參加咗個MMA慈善比賽11月22號係Derby DE24 3DH，幫香港監察籌款。大會要求參加者要籌到£50同賣出十張飛先可以打比賽。

現在已經有8人買了票。
還欠兩票

如果想去睇，大家要盡快買飛，10月14日前不足夠10票，正仔無得打。 記得打 Siu

想請大家幫個忙🙏，分享這個以下阿正的連接👇🏻及訊息給有興趣去睇嘅朋友。記得打 Siu

https |//www.ultratickets.co.uk/events/ultra-mma-derby-burton-22-11-2024/?fbclid=IwZXh0bgNhZW0CMTEAAR3sugOLjrqqrQfRWZcTVzlX1bKQ9cz3z8_Dpgkj1ex76Kn1OmtsGsd_CGY_aem_SJ0RHKNfC6lKLZLt9RDP-A",Uncategorized,Uncategorized,325
Nottingham 🇬🇧港人互助區,2024,October,10,Thursday,14:00:29,user19440,大家今日燒死咗咪？,9,user19440: 大家今日燒死咗咪？,Uncategorized,Uncategorized,21
Nottingham 🇬🇧港人互助區,2024,October,8,Tuesday,22:00:27,homelala,有少少遠，不過都想推下俾大家🙇🏻‍♂️,19,homelala: 有少少遠，不過都想推下俾大家🙇🏻‍♂️,Uncategorized,Uncategorized,34
