Group Name,Year,Month,Date,Weekday,Time,Who,Chat Content,CharCount,Processed Content,Category,Subcategory,Token Count
Sheffield🇬🇧港人互助區,2024,October,27,Sunday,17:04:49,user56809,農曆年Sheffield 有粵劇呀,17,user56809: 農曆年Sheffield 有粵劇呀,Social and Cultural Adjustment,Celebrating and Preserving Cultural Traditions,19
真.IT人在英國,2024,October,29,Tuesday,0:14:33,kevinlaw1984,"on 9, 交成晚稅
我立即問稅局，佢話我文件吾齊。
咁我就同太太重申填好，我同太太加小朋友 父母就不用我拱 再交文件
再次收到信都係要交兩萬幾 有冇攪撚錯",78,"kevinlaw1984: on 9, 交成晚稅
我立即問稅局，佢話我文件吾齊。
咁我就同太太重申填好，我同太太加小朋友 父母就不用我拱 再交文件
再次收到信都係要交兩萬幾 有冇攪撚錯",Legal and Bureaucratic Challenges,Understanding Tax Obligations,106
真.IT人在英國,2024,October,4,Friday,0:59:19,GeraldG0,走啦，呢個谷應該都好多人走咗去英國,17,GeraldG0: 走啦，呢個谷應該都好多人走咗去英國,Social and Cultural Adjustment,Building Community and Social Connections,35
真.IT人在英國,2024,October,3,Thursday,2:40:46,kevinlaw1984,但做得吾係太開心,8,kevinlaw1984: 但做得吾係太開心,Employment and Economic Opportunities,Job Market Competition,19
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,22,Tuesday,9:01:20,latteju,我考完theory test 就即刻book路試，我係補鐘，係美國牌唔可以直換，上咗一次堂，師傅叫我改個近啲嘅考場方便啲去操，原本係book咗10月10號，但改考場已去到一月頭，前排醒起新年頭可能難啲夾補鐘時間，所以諗住再改時間,114,latteju: 我考完theory test 就即刻book路試，我係補鐘，係美國牌唔可以直換，上咗一次堂，師傅叫我改個近啲嘅考場方便啲去操，原本係book咗10月10號，但改考場已去到一月頭，前排醒起新年頭可能難啲夾補鐘時間，所以諗住再改時間,Transportation and Mobility,Adjusting to New Traffic Rules and Regulations,140
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,19,Saturday,6:01:52,user92757,我見唐人街有幾間髮型屋 果幾間剪男仔頭掂唔掂?,23,user92757: 我見唐人街有幾間髮型屋 果幾間剪男仔頭掂唔掂?,Personal Care and Appearance,Finding Quality Hair Salons,41
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,18,Friday,23:31:17,HKIndependenxe,有朋友喺嗰度剪過，負評,11,HKIndependenxe: 有朋友喺嗰度剪過，負評,Personal Care and Appearance,Poor Quality Hair Salon Services,25
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,18,Friday,12:59:43,user27915,曼城市中附近識邊度有香港髮型師,15,user27915: 曼城市中附近識邊度有香港髮型師,Personal Care and Appearance,Locating Professional Hong Kong Hairstylists,28
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,18,Friday,7:33:44,user19487,落地無耐 想識下朋友 周圍行下,15,user19487: 落地無耐 想識下朋友 周圍行下,Social and Cultural Adjustment,Building Community and Social Connections,27
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,17,Thursday,21:02:50,user24766,Hello 有冇男仔都係自己一個曼城呀？😀歡迎一齊組團,27,user24766: Hello 有冇男仔都係自己一個曼城呀？😀歡迎一齊組團,Social and Cultural Adjustment,Building Community and Social Connections,41
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,14,Monday,14:40:34,captaincatho,有咩app可以練情境題，要考筆試，Theory 4 in 1 好似要另外收錢,38,captaincatho: 有咩app可以練情境題，要考筆試，Theory 4 in 1 好似要另外收錢,Education and Personal Development,Enrolling in Language and Integration Programs,47
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,12,Saturday,19:48:56,speakandmove,"軍訓究竟有幾辛苦？

隨住越嚟越多BNO手足成功參軍，可能大家都會聽過佢哋話Basic Training 好痛苦。可能有啲人會覺得自己操開體能，又或者俾‘basic’呢個字呃到，就覺得basic training 不外如是。最近我哋其中一位手足就收到佢野外訓練嗰時嘅珍貴片段，可以俾大家感受一吓軍訓實況。

片段所見就係野外訓練其中最痛苦嘅環節之一’Ambush’。當你日頭已經操到死，好難得可以捐入睡袋休息一兩個鐘嘅時候，往往就會遭遇敵人襲擊要捐出都未訓暖嘅睡袋去還火。當做得唔好嘅時候仲要2分鐘pack好哂所有嘢模擬戰敗撤退，孭住40公斤裝備喺野外跑幾公里搵新嘅據點。槍林彈雨之下就同真係上咗戰場冇咩分別。

喺咁高強度嘅訓練之下，好多人都會捱唔住放棄，軍訓嘅畢業率得60%左右。不過，暫時成功報名參軍嘅香港手足，畢業率暫時仲係100%",370,"speakandmove: 軍訓究竟有幾辛苦？

隨住越嚟越多BNO手足成功參軍，可能大家都會聽過佢哋話Basic Training 好痛苦。可能有啲人會覺得自己操開體能，又或者俾‘basic’呢個字呃到，就覺得basic training 不外如是。最近我哋其中一位手足就收到佢野外訓練嗰時嘅珍貴片段，可以俾大家感受一吓軍訓實況。

片段所見就係野外訓練其中最痛苦嘅環節之一’Ambush’。當你日頭已經操到死，好難得可以捐入睡袋休息一兩個鐘嘅時候，往往就會遭遇敵人襲擊要捐出都未訓暖嘅睡袋去還火。當做得唔好嘅時候仲要2分鐘pack好哂所有嘢模擬戰敗撤退，孭住40公斤裝備喺野外跑幾公里搵新嘅據點。槍林彈雨之下就同真係上咗戰場冇咩分別。

喺咁高強度嘅訓練之下，好多人都會捱唔住放棄，軍訓嘅畢業率得60%左右。不過，暫時成功報名參軍嘅香港手足，畢業率暫時仲係100%",Employment and Economic Opportunities,Workplace Culture and Integration,512
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,12,Saturday,13:23:08,cyncye,請問一下有冇想夾租啊 。下個月尾開始 。,20,cyncye: 請問一下有冇想夾租啊 。下個月尾開始 。,Housing and Living Arrangements,Shared Housing and Roommate Dynamics,31
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,12,Saturday,10:03:49,captaincatho,bno visa 仲要移民律師？,16,captaincatho: bno visa 仲要移民律師？,Legal and Bureaucratic Challenges,Navigating Immigration and Residency Requirements,20
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,11,Friday,9:37:54,tthhooj,咁多位，請問曼城有冇移民律師，可以推介一下🙏🏻🙏🏻，唔該晒,29,tthhooj: 咁多位，請問曼城有冇移民律師，可以推介一下🙏🏻🙏🏻，唔該晒,Legal and Bureaucratic Challenges,Accessing Legal Aid or Advocacy Services,53
BNO求職創業互助討論區,2024,October,22,Tuesday,7:39:02,user91383,請問在申請settlement 等候結果期間， 如果BNO Visa 已過期那應該怎麼辦？要再續簽BNO Visa 嗎？,60,user91383: 請問在申請settlement 等候結果期間， 如果BNO Visa 已過期那應該怎麼辦？要再續簽BNO Visa 嗎？,Legal and Bureaucratic Challenges,Navigating Immigration and Residency Requirements,65
BNO求職創業互助討論區,2024,October,7,Monday,15:53:03,user70511,Birmingham China town 一車位出租🌟價錢可商議❗️,35,user70511: Birmingham China town 一車位出租🌟價錢可商議❗️,Housing and Living Arrangements,Rising Rent and Housing Costs,30
英國戰線 🇬🇧 Britons in Hong Kong/UK (頻道留言用),2024,October,19,Saturday,8:20:58,user99339,咁樣講即係冇改變BNO要跟國際生支付大學學費,22,user99339: 咁樣講即係冇改變BNO要跟國際生支付大學學費,Education and Personal Development,Financial Barriers to Education and Training,39
英國戰線 🇬🇧 Britons in Hong Kong/UK (頻道留言用),2024,October,17,Thursday,18:58:38,user56974,交國際生學費真是沒能力負擔,13,user56974: 交國際生學費真是沒能力負擔,Education and Personal Development,Financial Barriers to Education and Training,26
曼城好東西,2024,October,25,Friday,18:19:42,yakipeter11111,請教下，各位冇車牌既有咩其他實用既代步方法？,22,yakipeter11111: 請教下，各位冇車牌既有咩其他實用既代步方法？,Transportation and Mobility,Navigating Public Transportation Systems,40
曼城好東西,2024,October,16,Wednesday,19:58:07,kkkkkk45695,"請教下抽油煙機係內循環式，廚房又唔近窗，係咪都唔洗旨意煎炒野？🥲

同埋出風位牆身天花係咪會好易發霉，有油漬？",55,"kkkkkk45695: 請教下抽油煙機係內循環式，廚房又唔近窗，係咪都唔洗旨意煎炒野？🥲

同埋出風位牆身天花係咪會好易發霉，有油漬？",Housing and Living Arrangements,Adjusting to Different Housing Standards,104
曼城好東西,2024,October,15,Tuesday,19:39:46,Mr_Vincent,想帶屋企老人家同多d人傾計，唔想佢成日係屋企,22,Mr_Vincent: 想帶屋企老人家同多d人傾計，唔想佢成日係屋企,Family Dynamics and Support,Caring for Aging Parents Remotely,38
曼城好東西,2024,October,15,Tuesday,18:57:48,Mr_Vincent,有無d可以比老人家傾下計？,13,Mr_Vincent: 有無d可以比老人家傾下計？,Social and Cultural Adjustment,Building Community and Social Connections,20
曼城好東西,2024,October,15,Tuesday,17:50:38,Mr_Vincent,想問下曼城有咩比老人家玩既活動？,16,Mr_Vincent: 想問下曼城有咩比老人家玩既活動？,Social and Cultural Adjustment,Building Community and Social Connections,28
曼城好東西,2024,October,14,Monday,19:03:18,whoami_whoknows,"朋友有全新裝修兩房排屋尾放盤，£1200 , 有意可pm 我睇video 同相",39,"whoami_whoknows: 朋友有全新裝修兩房排屋尾放盤，£1200 , 有意可pm 我睇video 同相",Housing and Living Arrangements,Rising Rent and Housing Costs,47
曼城好東西,2024,October,13,Sunday,14:01:07,Mr_Vincent,而家愈來愈保障租客，業主放租都有風險,18,Mr_Vincent: 而家愈來愈保障租客，業主放租都有風險,Housing and Living Arrangements,Rising Rent and Housing Costs,34
曼城好東西,2024,October,12,Saturday,20:41:04,Mr_Vincent,"我之前b&b住過chorlton ，感覺真係幾好，個價同sale差唔多，但又係傳統校網好既區，食野又多選擇，又新市區
但因為無新盤YouTuber無錢賺就唔提",79,"Mr_Vincent: 我之前b&b住過chorlton ，感覺真係幾好，個價同sale差唔多，但又係傳統校網好既區，食野又多選擇，又新市區
但因為無新盤YouTuber無錢賺就唔提",Housing and Living Arrangements,Adjusting to Different Housing Standards,104
曼城好東西,2024,October,12,Saturday,14:31:07,yakipeter11111,"係舊樓。Salford around 200k, 其他區再低d都有

不過最衰我冇車牌，所以通常睇有metrolink的區域",62,"yakipeter11111: 係舊樓。Salford around 200k, 其他區再低d都有

不過最衰我冇車牌，所以通常睇有metrolink的區域",Transportation and Mobility,Navigating Public Transportation Systems,66
曼城好東西,2024,October,12,Saturday,13:46:21,Mr_Vincent,"舊樓雖然大，但間隔未必咁實用
新樓比舊樓細，但部份新樓間隔好用
舊樓睇過過百間，但間隔好多都馬馬，或者可能收納上香港人同本地人既習慣唔同
當然新樓都唔一定好，我同村都有d個間隔間到唔知點擺野
面積上舊樓3房個d仲大過新樓4房，計面積舊樓當然好d
當然你亦可以扑哂d間隔自己搵人再搞
不過搵個好既裝修都係要睇彩數",155,"Mr_Vincent: 舊樓雖然大，但間隔未必咁實用
新樓比舊樓細，但部份新樓間隔好用
舊樓睇過過百間，但間隔好多都馬馬，或者可能收納上香港人同本地人既習慣唔同
當然新樓都唔一定好，我同村都有d個間隔間到唔知點擺野
面積上舊樓3房個d仲大過新樓4房，計面積舊樓當然好d
當然你亦可以扑哂d間隔自己搵人再搞
不過搵個好既裝修都係要睇彩數",Housing and Living Arrangements,Adjusting to Different Housing Standards,243
曼城好東西,2024,October,12,Saturday,10:16:13,user56528,"我想請問一下， 我之前租屋， agent 會收左5 個星期（定6個星期） $ 既deposit , 我完左contract 佢幾耐先會比返我？ 而家過左一個月都收唔到",83,"user56528: 我想請問一下， 我之前租屋， agent 會收左5 個星期（定6個星期） $ 既deposit , 我完左contract 佢幾耐先會比返我？ 而家過左一個月都收唔到",Housing and Living Arrangements,Financial and Legal Challenges in Housing Contracts,86
曼城好東西,2024,October,12,Saturday,9:22:34,McMcshop,200k以下一定係舊樓，唔知你有冇經驗，好多野都要知道，太多問題的舊樓價錢係150-250K。,47,McMcshop: 200k以下一定係舊樓，唔知你有冇經驗，好多野都要知道，太多問題的舊樓價錢係150-250K。,Housing and Living Arrangements,Understanding House Purchase Processes and Potential Issues,63
