Group Name,Year,Month,Date,Weekday,Time,Who,Chat Content,Contains Keyword
Nottingham 🇬🇧港人互助區,2024,October,16,Wednesday,16:38:59,homelala,"💼Jobs for Hongkongers💼

An eight week programme offering personalised 1-1 support for all of your employment needs!

This programme will support you to: 
- Find work and work experience opportunities
- Improve your CV, applications, and interview skills
- Find new skills and training programmes

This programme is available to anyone who is living in the UK under the HKBNO Visa. 

Find out more and access suport: https://www.jobsforhongkongers.org.uk/",True
Nottingham 🇬🇧港人互助區,2024,October,7,Monday,16:42:48,homelala,"// 本周四是中華民國成立113周年，台灣總統賴清德上周六（10月5日）首次以總統身份在台北出席雙十國慶晚會，並發表「祖國論」，指按年紀來說中華人民共和國不可能成為中華民國人民的祖國，兩萬現場群眾拍爛手掌歡呼，國際社會立即沸騰，中國官方反過來失語至少48小時。這是賴清德「領土完整論」令中共啞子食黃蓮後，「賴神」再在兩岸認知戰上大顯神通，令他3日後的首次雙十演說公眾期待指數大升。//

【台灣雙十節｜中華民國113歲vs比中華人民共和國75歲   賴清德「祖國論」秒殺   北京又食黃蓮】
 
全文請到《追新聞》網站閱覽
https://thechasernews.co.uk/台灣雙十節｜賴清德祖國論秒殺北京又食黃蓮/

#賴清德 #中華民國 #中華人民共和國 #祖國論 #祖國  #台灣 #中共 #TheChaser #追新聞
 ======================
🌟加入YouTube頻道會員支持《追新聞》運作🌟
https://www.youtube.com/channel/UC5l18oylJ8o7ihugk4F-3nw/join

《追新聞》無金主，只有您！為訂戶提供驚喜優惠，好讓大家支持本平台，再撐埋黃店。香港訂戶可分享給英國親友使用。

優惠詳情：https://thechasernews.co.uk/追新聞訂戶注意-新黃店優惠嚟啦/

報道無罪 知情有價 請即訂閱《追新聞》：
💰 Patreon｜https://www.patreon.com/thechasernews
💰 Stripe｜https://buy.stripe.com/7sI8zwgoA9HZ3Cg6oq
🔗 網站｜https://thechasernews.co.uk/
📺 YouTube｜https://www.youtube.com/channel/UC5l18oylJ8o7ihugk4F-3nw
📷 Instagram｜https://www.instagram.com/the_chaser_news
🌐 Facebook｜https://www.facebook.com/the.chaser.news
💬 Telegram Channel｜https://t.me/the_chaser_news
☕️ ko-fi｜https://ko-fi.com/thechasernews",True
Sheffield🇬🇧港人互助區,2024,October,24,Thursday,0:41:39,lee_cheongsan,"【用Octopus的用戶有福了！】

自家製一Click即睇實時Argile電費。

唔使Login，唔使左襟右襟，真正一Click即睇！係一Click即睇呀呀呀呀。

仲可以睇埋隔離區價錢添！

https://play.google.com/store/apps/details?id=octopus.energy.pricechecker",True
Sheffield🇬🇧港人互助區,2024,October,17,Thursday,11:20:05,,"📣隨時隨地即玩即贏，一指贏取財富
📲極速註冊即時贏錢: sbhk1129.com
🔥首充入$1000即送$1000💰
🎲每日無上限返水2.5%
🎲升級獎金高達$18888
🎲每週累積儲值獎金$3888
🔸免費註冊🔸  sbhk1129.com

📲過百款賭場遊戲，5秒到帳💰
💰USDT充值每筆送3%
🔸領取優惠及查詢🔸 wa.me/85255942234
🧿遊戲介紹Website： shibo306hk.com",True
Sheffield🇬🇧港人互助區,2024,October,17,Thursday,6:53:13,,"📣隨時隨地即玩即贏，一指贏取財富
📲極速註冊即時贏錢: sbhk1129.com
🔥首充入$1000即送$1000💰
🎲每日無上限返水2.5%
🎲升級獎金高達$18888
🎲每週累積儲值獎金$3888
🔸免費註冊🔸  sbhk1129.com

📲過百款賭場遊戲，5秒到帳💰
💰USDT充值每筆送3%
🔸領取優惠及查詢🔸 wa.me/85255942234
🧿遊戲介紹Website： shibo306hk.com",True
Sheffield🇬🇧港人互助區,2024,October,16,Wednesday,7:12:21,,"📣隨時隨地即玩即贏，一指贏取財富
📲極速註冊即時贏錢: sbhk1129.com
🔥首充入$1000即送$1000💰
🎲每日無上限返水2.5%
🎲升級獎金高達$18888
🎲每週累積儲值獎金$3888
🔸免費註冊🔸  sbhk1129.com

📲過百款賭場遊戲，5秒到帳💰
💰USDT充值每筆送3%
🔸領取優惠及查詢🔸 wa.me/85255942234
🧿遊戲介紹Website： shibo306hk.com",True
Sheffield🇬🇧港人互助區,2024,October,15,Tuesday,13:36:30,Counsellingming,"https://www.facebook.com/share/p/rPf9hFkqm8gq3BY2/

🔍 互動法庭：有你做陪審員，判決會否改寫？

請在11月17日前填寫以下 Google 表格報名參加。

https://forms.gle/QFC5hdj6heWbm9eH6

自香港實施國安法以來，社會氛圍急劇變遷，47人案成為了國際最具爭議的審訊之一，牽動無數港人，使我們無法置身事外。

透過這宗案件，讓我們思考一個問題：要有一個公平公正的司法制度，社會要有什麼條件呢？這些條件，離我們有多遠？而
這宗案件如有你的參與，結局會否不一樣？

🛎️活動重點：
1️⃣ 模擬47人案的審訊處境：參加者以旁聽席人士角度，重溫案件重點
2️⃣ 親身扮演陪審團角色：現場將隨機抽選三組觀眾，擔任「陪審員」，參與對案件的判決。

日期：11月23日
地點：National Justice Museum NG1 1HN
時間：13:30開場
名額：限100人參加，免費入場
語言：廣東話

免費參加，但由於場地租金昂貴，如你已報名但無法到場，請提前通知。當天活動現場將設有現金捐款箱，歡迎有心人士支持。

🔍 Trial Reenactment: What If, You Were the Jury? 

Since the implementation of certain laws in Hong Kong, the social atmosphere has rapidly shifted. The HK47 trial has become one of the most internationally controversial cases, touching the hearts of countless Hong Kongers. This event will recreate a courtroom scenario, allowing participants to rethink the fairness and legitimacy of the judicial system, and take part either as an observer or as a member of the jury.

*Please note the reenactment will be delivered in Cantonese

Capacity: 100 people

Please complete the google form below by November 17, 2024 to register.

Date: November 23, 2024 (Saturday)
Location: Civil Courtroom, National Justice Museum NG1 1HN
Time: 13:30 (one session only)",True
Sheffield🇬🇧港人互助區,2024,October,9,Wednesday,22:38:06,,"大家有沒有發現十月的英國早上，冷風陣陣，溫度急劇下降? 迎接英國秋冬，記得給身體和肌膚滋潤，補充水份，給自己肯定句，我是值得被愛，值得擁有的!  十月9號Amazon Prime Sales 折扣今晚快結束啦😇！

我已經替大家貨比三家，精選出最值得入手嘅秋冬必備保健品同護膚品，幫你喺短短1分鐘內搵到最抵嘅優惠！無需浪費時間，因為我已經為你整理好Amazon Prime Day嘅保健品，護膚品折扣啦！

✅英國十月Amazon Prime 秋冬必備健品護膚折扣 (上集) 
👇
https://www.lifeofuk.com/2024-amazon-prime-autumn-sale-guide/ 
✅英國十月Amazon Prime 秋冬必備家居食品折扣 (下集)!  
👇
https://www.lifeofuk.com/amazon-prime-day-october-sales-part2/

˚˖𓍢ִ໋🍃✧˚.💚⋆ 入手呢啲筍貨唔單止可以幫你節省時間同金錢，仲可以提升你日常生活嘅舒適感! 希望大家都可以趁住呢次優惠為自己增添啲舒適嘅小確幸，我自己都已經入手準備好啦💛～",True
真.IT人在英國,2024,October,27,Sunday,18:29:33,MilkySylvia,"4天工作周 冰島試推數年成效顯著 「失業率歐洲最低」經濟成長超越多國
https://lih.kg/3810904
- 分享自 LIHKG 討論區",True
真.IT人在英國,2024,October,1,Tuesday,23:00:25,john_smith_hk,"26歲 倫敦做IT9 £100k+ 你問我答
- 分享自 LIHKG 討論區
https://lih.kg/3795065

#大英祖國",True
BNO英國討論區,2024,October,17,Thursday,3:57:06,World_1212,"【Youtube上絕不能提的事情】
https://www.youtube.com/watch?v=0VgLNS54F8w

- 大手都市傳說Youtuber透露，製藥公司向他們提出數百萬日元的工商案件，為藥廠宣傳疫苗
- 有報導指有受害者(或其家屬)接收了高達4420萬日元的賠償
- 日本政府早已預備3億以上日元，賠償哪些受疫苗影響而失去身體自由的人
- 但實際傷亡遠遠超出預期，政府需要大幅增加該予算至394億日元(約110倍)
- 事後有很多Youtuber為自己洗白，說被政府相關的專業機構所提供的數據誤導而推薦疫苗
- 日本政府及主流傳媒在沒有充分理據下，指控小林製藥紅麴危害健康
- 有傳媒質疑這個指控，因該產品由2016年生產至2023都沒有健康被害的報告
- 陰謀論指政府指控小林藥製是為了誤導市民，轉移視線，隱瞞疫苗與超過死亡的因果關系
- 有社會上成功人士透露，酒精汽水「Strong」也將會被指控造成腦部及心臟問題
- 若大眾接受這些說法，政府就成功解釋超過死亡與疫苗無關

#陰謀論 #信不信由你 #西醫 #疫苗 #新冠疫苗 #youtube",True
BNO食買玩討論區🍡🛒🎢,2024,October,21,Monday,17:56:53,zfanman,"《跨國City Hunt 競賽🏃‍♂️‍➡️⁉️》

係同一個地區比賽就聽得多，你有冇玩過跨國比賽？🎃萬聖節快到，約左朋友出去玩未？不如今年萬聖節約埋香港嘅朋友一齊玩啦！

香港嘅TeamUnlock+將會舉辦🎃萬聖節限定🎃嘅戶外解謎：《沉船前的最後90分鐘🛳 》，各國城市同步進行，就算係倫敦都可以參加，並爭取最高排名！TeamUnlock+亦為小朋友打造較易版本，完成任務仲有參加獎狀🏆！

🌟 推理戶外解謎將係倫敦嘅騎士橋區舉行，完成刺激遊戲後，仲可以欣賞周邊歷史建築，係一個最佳一日遊計劃！

🔥 優惠大放送：
1. 叫你朋友買香港場門票 🇭🇰 ＞ 送海外場3折dicount code (折後HKD$180，dicount code隨購票email發放)
2. 🐣 官網登記早鳥5折（折後$300/6位，**早鳥優惠將於至10月16日截止**)

大家有興趣嘅話可以撳下呢條link，裡面會詳細咁介紹成個活動玩法同埋購票資訊👇：
[https://www.teamunlock.me/event-details-1/the-last-90-minutes-before-the-shipwreck-in-knightsbridge-london](https://www.teamunlock.me/event-details-1/the-last-90-minutes-before-the-shipwreck-in-knightsbridge-london)

🎃萬聖節限定🎃《沉船前的最後90分鐘🛳 》
📍活動區域：騎士橋區
📍活動日期：10月26日-10月27日(BST)
📍活動時間：14:00 - 20:30 (BST)
📍遊戲語言：中英文雙語介面
📍玩家人數上限：6人／隊 （建議最少人數為2人）
📍預計解謎需時：90分鐘
📍衣著建議：萬聖節服裝 
任何疑問，歡迎DM／撳info wts 搵客服

[Yt](https://youtube.com/@teamunlockplus?si=Nx5aKFiI2Fp1oZuv)
[Ig](https://www.instagram.com/team.unlock.plus/)
[Fb](https://www.facebook.com/profile.php?id=61559551018754)

Email: info@teamunlock.me
Whatsapp: [https://api.whatsapp.com/send?phone=85284159111](https://api.whatsapp.com/send?phone=85284159111)",True
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,29,Tuesday,21:58:14,THCIC_AM,"CLS Hair Studio x Trafford Hongkongers CIC 義剪活動

CLS Hair Studio 將於2024年11月12日(二) 為指定群組人士*提供義剪服務，名額24位，報名從速！
*包括：難民、政治庇護申請者、已撤銷NRPF限制之家庭成員、65歲或以上長者、單親家庭成員及殘疾人士。你須向 Trafford Hongkongers CIC 出示證明作實。

報名：
https://www.eventbrite.co.uk/e/1065679619429",True
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,26,Saturday,6:19:53,,10月26日，星期六，曼城撐烏克蘭集會，地點：St. Peter's Square ，2時至3時半,True
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,24,Thursday,0:36:00,lee_cheongsan,"【用Octopus的用戶有福了！】

自家製一Click即睇實時Argile電費。

唔使Login，唔使左襟右襟，真正一Click即睇！係一Click即睇呀呀呀呀。

仲可以睇埋隔離區價錢添！

https://play.google.com/store/apps/details?id=octopus.energy.pricechecker",True
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,15,Tuesday,10:48:00,Windanz,"🇬🇧《寧化飛灰》十一月英國上映🔥

《寧化飛灰》是一部獲獎紀錄片，探討了記者在極權政權下報導時所面臨的情感和道德掙扎。透過2019年香港抗議活動的鏡頭，該片捕捉了捍衛新聞自由的高昂代價。我們很高興能將這部影片帶到英國，並在曼城、利物浦、諾丁漢、伯明翰和倫敦進行放映。放映活動隨後會有與導演進行現場問答互動環節。

11月9號 曼城 
11月10號 利物浦 
11月16號 諾丁漢
11月17號 伯明翰
11月23號 倫敦

由即日起至10月26日都有早鳥優惠🫂
請大家都幫手宣傳多多支持🙌🏻

https://www.eventbrite.com/cc/rather-be-ashes-than-dust-uk-screening-2024-3739789

***[

](http://petition.parliament.uk/petitions/640649)一個不忘討論抗爭嘅英國公海
📌 [加入TG公海](http://bit.ly/BHK1841)",True
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,14,Monday,23:12:32,,"做下打手
歡迎大家share 出去～

有關香港2019年嘅得獎紀錄片「寧化飛灰」
嚟緊11月會係英國5個城市放映

11/9 曼城 
11/10 利物浦 
11/16 諾丁漢
11/17 伯明翰
11/23 倫敦

由即日起至10月26日都有早鳥優惠🫂
請大家都幫手宣傳多多支持🙌🏻
電影放映後會有導演現場Q&A 

https://www.eventbrite.com/cc/rather-be-ashes-than-dust-uk-screening-2024-3739789",True
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,8,Tuesday,18:10:51,,"大家注意！依家真係最後通牒啦⚠️！李拾壹嘅演唱會仲有少量飛放出嚟，主辦方仲推出咗限量折扣碼，感謝曼城朋友嘅熱情支持，希望賣埋D飛，大家企爆個場一齊跳，手快有，手慢無呀！

呢場show就喺10月13號，地點係曼徹斯特 Night and Day Cafe，到時會有Gen03_MCR幫李拾壹熱力暖場🔥

如果你仲喺度諗緊去唔去，就同你講埋啦，睇過李拾壹嘅朋友都知，佢真係冇得輸，氣氛勁Fun又好玩，感性又得，搞笑又掂！仲有牧童笛大合奏嗰幕，真係笑到爆，絕對係一場你會記住嘅體驗！

重要情報！：其實買咗飛，拎住張飛去消費有好多著數架！多達十幾間曼城店舖提供票尾優惠，互相支持，唔好錯過呢啲額外福利！

🎟️ 購票連結：https://www.pierzero.co.uk/event-details-registration/subyub-lees-mr-delay-uk-tour-manchester

限量特別優惠碼（只限曼市！）：11SUCCESSFUL

記得同朋友Share呢個消息，一齊嚟High啦！👍",True
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,7,Monday,3:30:39,BigBigPlane_364,"打搞咁多位師兄

尋失物

尋日 星期日 (6/10) 下晏 兩點三 左右 係PICCADILLY GARDENS LIDL 附近遺失 黑色 PAUL SMITH 銀包一個，內有 少量 英鎊 & 港幣，提款卡 ，香港信用卡，英國車牌，學生證，白色御守......

如有拾獲，請PM本人，薄酬
麻煩晒🙇🏻‍♂",True
英國戰線 🇬🇧 Britons in Hong Kong/UK (頻道留言用),2024,October,31,Thursday,6:12:04,britonshk,"即刻訂購2025細葉榕月曆📅
支持細葉榕嘅營運成本、教育同人道支援工作啦！🌱2025年我哋再次推出月曆。今次我哋創作咗一個關於香港嘅故事，並用手繪水彩畫呈現出嚟畀大家。

今年我哋喺英國🇬🇧都有團購15本以上免運費優惠，你只需要喺網站訂購時選擇「郵寄（>=15件，免運費）」做運送方式，並使用銀行轉帳畀錢，就會自動免運費啦！

購買月曆傳送門在此：https://www.bonhamtreeaid.org/calendar2025",True
英國戰線 🇬🇧 Britons in Hong Kong/UK (頻道留言用),2024,October,30,Wednesday,21:29:15,britonshk,"// 李韻晴表示今天作出正確的決定，恢復公共財政穩定、保護勞動群眾、改善NHS體系及重建英國，強調只有今天作出艱難的決定，才能為長遠的計劃打算。首相施紀賢指經過14年的衰退後，政府「將投資我們的國家，重建學校、醫院和道路」，不會逃避作出艱難決定。

保守黨黨魁辛偉誠批評工黨破壞承諾，保守黨過去多次警告工黨將加稅、加大借貸及支出，今天的預算案顯示政府玩弄數字遊戲，最終只會由打工仔埋單。//

【秋季預算案｜英國最低工資時薪增至12.21鎊   英格蘭巴士車費封頂加至3鎊】

全文請到《追新聞》網站閱覽
https://thechasernews.co.uk/秋季預算案英國最低工資時薪增至12鎊/

#英國最低工資 #英國民生 #秋季預算案 #英國政策 #工黨 #李韻晴 #英格蘭 #追新聞 #TheChaser
=======================
🌟加入YouTube頻道會員支持《追新聞》運作🌟
https://www.youtube.com/channel/UC5l18oylJ8o7ihugk4F-3nw/join

《追新聞》無金主，只有您！為訂戶提供驚喜優惠，好讓大家支持本平台，再撐埋黃店。香港訂戶可分享給英國親友使用。

優惠詳情：https://thechasernews.co.uk/追新聞訂戶注意-新黃店優惠嚟啦/

報道無罪 知情有價 請即訂閱《追新聞》：
💰 Patreon｜https://www.patreon.com/thechasernews
💰 Stripe｜https://buy.stripe.com/7sI8zwgoA9HZ3Cg6oq
🔗 網站｜https://thechasernews.co.uk/
📺 YouTube｜https://www.youtube.com/channel/UC5l18oylJ8o7ihugk4F-3nw
📷 Instagram｜https://www.instagram.com/the_chaser_news
🌐 Facebook｜https://www.facebook.com/the.chaser.news
💬 Telegram Channel｜https://t.me/the_chaser_news
☕️ ko-fi｜https://ko-fi.com/thechasernews",True
英國戰線 🇬🇧 Britons in Hong Kong/UK (頻道留言用),2024,October,30,Wednesday,6:12:04,britonshk,"📅 Biometric Residence Permit expiring on 31 December 2024? Or got a stamp/vignette sticker in your passport?

//你好，我哋係內政部……喂？喂？喂？……//

⏩ You should change to an eVisa now. 💻✈️

HOME OFFICE

***[

](http://petition.parliament.uk/petitions/640649)一個不忘討論抗爭嘅英國公海
📌 [加入TG公海](http://bit.ly/BHK1841)",True
英國戰線 🇬🇧 Britons in Hong Kong/UK (頻道留言用),2024,October,30,Wednesday,2:05:18,britonshk,"風雨蘭｜分析逾 800 名性暴力案求助者報案後　逾三成遭警終止調查或不受理

全文：https://bit.ly/3YGMMgh

風雨蘭今（29日）發表最新一份個案回溯統計報告，分析過去五年間深入跟進的 1,984 宗性暴力個案，及與以往個案比較分析。

研究發現，過去五年逾 800 名報案事主中，有 265 宗 （32.8%）警方終止調查、 31宗（3.8%）警方不受理、 179宗（22.2%）交律政司跟進、 322宗 （39.9%）正在調查，或不知結果。約 300 宗遭警終止調查性暴力個案中，135宗（近五成）因證據不足，105宗（35.5%）因投訴人撤案。事主主動撤案，最大原因是在司法程序感到有壓力（51.4%）。

邱志衡解釋，司法程序中「可能要花幾年時間才可知道調查結果或有否機會上庭，對當事人來說可能非常煎熬」。他指不少案件因當事人撤訴而終結，反映現有司法程序保護措施不足，減低當事人尋求公義的信心，望當局檢討性罪行個案的報案、調查與起訴程序。

此外，過去五年當事人平均延遲約 4.2 年求助，逾四成事主曾經歷多於一次性侵。邱志衡指，延遲求助有很多原因，其中一個是不少個案的侵犯者與當事人相識，「變相處理案件或承認自己是受害人時，可能經過重重困難、心理掙扎」，「可能琴日係親密伴侶，但今日 abuse 咗我，今日突然要將佢身分轉換成侵犯者」，受害人或需時消化，故沒有即時求助。此外，不少童年性侵的受害人，兒時曾向身邊人如父母講述被性侵經歷，但可能父母不信任或掉轉指責他們，令當事人失去求助意欲，「連我最信任的人都不相信我，我點能夠相信同社工講、同風雨蘭講，佢哋會信任我呢」。

邱說，延遲 4.2 年求助情況絕對不理想，現時社會環境雖更友善，但仍然存有性暴力迷思和責怪受害人文化，影響受害人求助意欲和時間，望情況能得到改善。

#集誌社 #風雨蘭 #性暴力案 #求助 #報案",True
英國戰線 🇬🇧 Britons in Hong Kong/UK (頻道留言用),2024,October,30,Wednesday,2:04:43,britonshk,"【當年今日｜反修例回顧】2019年10月30日：多人屯門被捕 警命跪地抱頭受查
https://bit.ly/3UrymxY",True
英國戰線 🇬🇧 Britons in Hong Kong/UK (頻道留言用),2024,October,29,Tuesday,20:09:53,,"機會黎啦飛雲！

有關香港2019年嘅得獎紀錄片「寧化飛灰」
嚟緊11月會係英國5個城市放映

倫敦場次係早鳥優惠期間已經全場售罄爆滿。知道有好多朋友仔搶唔到飛好失望，所以經過同Cineworld 一輪協商，佢哋決定換個大啲嘅影院俾我哋播！

大家可以用返之前條link 購買，倫敦場次早鳥優惠亦會延長至星期日（11月2日）！

加開座位有限，大家記得要把握機會！

11/9 曼城 
11/10 利物浦 
11/16 諾丁漢
11/17 伯明翰
11/23 倫敦

電影放映後會有導演現場Q&A 

https://www.eventbrite.com/cc/rather-be-ashes-than-dust-uk-screening-2024-3739789",True
英國戰線 🇬🇧 Britons in Hong Kong/UK (頻道留言用),2024,October,29,Tuesday,18:41:04,britonshk,"🔍 互動法庭：有你做陪審員，判決會否改寫？(諾定咸活動)

請在11月17日前填寫以下 Google 表格報名參加。

https://forms.gle/QFC5hdj6heWbm9eH6

自香港實施國安法以來，社會氛圍急劇變遷，47人案成為了國際最具爭議的審訊之一，牽動無數港人，使我們無法置身事外。

透過這宗案件，讓我們思考一個問題：要有一個公平公正的司法制度，社會要有什麼條件呢？這些條件，離我們有多遠？而
這宗案件如有你的參與，結局會否不一樣？

🛎️活動重點：
1️⃣ 模擬47人案的審訊處境：參加者以旁聽席人士角度，重溫案件重點
2️⃣ 親身扮演陪審團角色：現場將隨機抽選三組觀眾，擔任「陪審員」，參與對案件的判決。

日期：11月23日
地點：National Justice Museum NG1 1HN
時間：13:30開場
名額：限100人參加，免費入場
語言：廣東話

免費參加，但由於場地租金昂貴，如你已報名但無法到場，請提前通知。當天活動現場將設有現金捐款箱，歡迎有心人士支持。

Date: November 23, 2024 (Saturday)
Location: Civil Courtroom, National Justice Museum NG1 1HN
Time: 13:30 (one session only)

文宣來源：[思諾港](https://www.facebook.com/share/p/rPf9hFkqm8gq3BY2/)

***[

](http://petition.parliament.uk/petitions/640649)一個不忘討論抗爭嘅英國公海
📌 [加入TG公海](http://bit.ly/BHK1841)",True
