Group Name,Year,Month,Date,Weekday,Time,Who,Chat Content,CharCount,Processed Content,Category,Subcategory,Token Count
Nottingham 🇬🇧港人互助區,2024,October,22,Tuesday,20:32:47,Mn55245,想請問有無香港律師介紹,11,Mn55245: 想請問有無香港律師介紹,Uncategorized,Uncategorized,25
Sheffield🇬🇧港人互助區,2024,October,27,Sunday,17:04:49,user56809,農曆年Sheffield 有粵劇呀,17,user56809: 農曆年Sheffield 有粵劇呀,Social and Cultural Adjustment,Celebrating and Preserving Cultural Traditions,19
Sheffield🇬🇧港人互助區,2024,October,24,Thursday,14:23:11,junn1gram,是咪要搞搞佢,6,junn1gram: 是咪要搞搞佢,Uncategorized,Uncategorized,18
Sheffield🇬🇧港人互助區,2024,October,24,Thursday,14:22:18,junn1gram,對上一次收Gas已經係8月,13,junn1gram: 對上一次收Gas已經係8月,Uncategorized,Uncategorized,20
Sheffield🇬🇧港人互助區,2024,October,24,Thursday,14:21:49,junn1gram,突然發覺Octopus一直show唔到Gas個reading,30,junn1gram: 突然發覺Octopus一直show唔到Gas個reading,Uncategorized,Uncategorized,25
Sheffield🇬🇧港人互助區,2024,October,19,Saturday,13:13:19,user50259,有時間去睇呢個展覽,9,user50259: 有時間去睇呢個展覽,Uncategorized,Uncategorized,17
真.IT人在英國,2024,October,29,Tuesday,0:14:33,kevinlaw1984,"on 9, 交成晚稅
我立即問稅局，佢話我文件吾齊。
咁我就同太太重申填好，我同太太加小朋友 父母就不用我拱 再交文件
再次收到信都係要交兩萬幾 有冇攪撚錯",78,"kevinlaw1984: on 9, 交成晚稅
我立即問稅局，佢話我文件吾齊。
咁我就同太太重申填好，我同太太加小朋友 父母就不用我拱 再交文件
再次收到信都係要交兩萬幾 有冇攪撚錯",Legal and Bureaucratic Challenges,Understanding Tax Obligations,106
真.IT人在英國,2024,October,25,Friday,13:52:38,GeraldG0,遲早都會，只係唔知幾時😅,12,GeraldG0: 遲早都會，只係唔知幾時😅,Uncategorized,Uncategorized,25
真.IT人在英國,2024,October,4,Friday,0:59:19,GeraldG0,走啦，呢個谷應該都好多人走咗去英國,17,GeraldG0: 走啦，呢個谷應該都好多人走咗去英國,Social and Cultural Adjustment,Building Community and Social Connections,35
真.IT人在英國,2024,October,3,Thursday,19:54:52,Unknown,有幾多巴打喺倫敦?,9,Unknown: 有幾多巴打喺倫敦?,Uncategorized,Uncategorized,17
真.IT人在英國,2024,October,3,Thursday,2:40:46,kevinlaw1984,但做得吾係太開心,8,kevinlaw1984: 但做得吾係太開心,Employment and Economic Opportunities,Job Market Competition,19
真.IT人在英國,2024,October,2,Wednesday,11:25:08,GeraldG0,你覺得太少？😅,7,GeraldG0: 你覺得太少？😅,Uncategorized,Uncategorized,16
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,22,Tuesday,9:01:20,latteju,我考完theory test 就即刻book路試，我係補鐘，係美國牌唔可以直換，上咗一次堂，師傅叫我改個近啲嘅考場方便啲去操，原本係book咗10月10號，但改考場已去到一月頭，前排醒起新年頭可能難啲夾補鐘時間，所以諗住再改時間,114,latteju: 我考完theory test 就即刻book路試，我係補鐘，係美國牌唔可以直換，上咗一次堂，師傅叫我改個近啲嘅考場方便啲去操，原本係book咗10月10號，但改考場已去到一月頭，前排醒起新年頭可能難啲夾補鐘時間，所以諗住再改時間,Transportation and Mobility,Adjusting to New Traffic Rules and Regulations,140
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,19,Saturday,6:01:52,user92757,我見唐人街有幾間髮型屋 果幾間剪男仔頭掂唔掂?,23,user92757: 我見唐人街有幾間髮型屋 果幾間剪男仔頭掂唔掂?,Personal Care and Appearance,Finding Quality Hair Salons,41
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,18,Friday,23:31:17,HKIndependenxe,有朋友喺嗰度剪過，負評,11,HKIndependenxe: 有朋友喺嗰度剪過，負評,Personal Care and Appearance,Poor Quality Hair Salon Services,25
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,18,Friday,12:59:43,user27915,曼城市中附近識邊度有香港髮型師,15,user27915: 曼城市中附近識邊度有香港髮型師,Personal Care and Appearance,Locating Professional Hong Kong Hairstylists,28
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,18,Friday,7:33:44,user19487,落地無耐 想識下朋友 周圍行下,15,user19487: 落地無耐 想識下朋友 周圍行下,Social and Cultural Adjustment,Building Community and Social Connections,27
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,17,Thursday,21:02:50,user24766,Hello 有冇男仔都係自己一個曼城呀？😀歡迎一齊組團,27,user24766: Hello 有冇男仔都係自己一個曼城呀？😀歡迎一齊組團,Social and Cultural Adjustment,Building Community and Social Connections,41
